state,x,y
Alabama,120,-87
Alaska,-220,-170
Arizona,-218,-40
Arkansas,39,-53
California,-320,13
Colorado,-132,20
Connecticut,270,85
Delaware,255,42
Florida,205,-145
Georgia,168,-75
Hawaii,-317,-143
Idaho,-225,122
Illinois,85,37
Indiana,120,39
Iowa,38,65
Kansas,-17,5
Kentucky,140,-4
Louisiana,49,-125
Maine,312,164
Maryland,288,27
Massachusetts,312,105
Michigan,132,94
Minnesota,8,135
Mississippi,74,-78
Missouri,34,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,292,127
New Jersey,282,65
New Mexico,-148,-43
New York,236,98
North Carolina,200,-30
North Dakota,-64,158
Ohio,176,52
Oklahoma,-20,-41
Oregon,-278,138
Pennsylvania,208,62
Rhode Island,318,94
South Carolina,197,-60
South Dakota,-60,109
Tennessee,118,-34
Texas,-38,-106
Utah,-189,34
Vermont,265,140
Virginia,225,8
Washington,-280,183
West Virginia,180,20
Wisconsin,60,113
Wyoming,-134,90
